ID,CRIM,ZN,INDUS,RIVER_FLG,nitric oxides concentration,#rooms/dwelling,AGE,DIS,RAD,TAX,PTRATIO  ,B,LSTAT,MEDV
121,0.0669203,0,26.676,0,0.60424,5.8113,76.094,2.280277,2,305,19.1,393.0415,14.5137,21.78
122,0.0680675,0,24.3675,0,0.57519,5.94396,91.623,2.219374,2,251,19.1,358.7865,14.6981,20.503
123,0.0892704,0,24.3675,0,0.57519,5.90139,94.184,2.003424,2,225,19.1,366.7473,18.6472,19.885
124,0.1533876,0,26.676,0,0.56938,6.09024,105.88,2.04162,2,408,19.1,374.0131,25.6641,16.954
125,0.1004598,0,25.137,0,0.58681,6.17295,103.674,2.046426,2,378,19.1,386.9676,16.8768,18.048
126,0.16902,0,24.624,0,0.59843,6.04586,93.4,2.032758,2,443,19.1,377.3196,15.5505,21.4
127,0.3912235,0,25.137,0,0.61005,5.72526,95.82,1.704484,2,210,19.1,348.5113,28.623,15.072
180,0.055488,0,2.4108,0,0.46848,7.0498,64.568,2.88558,3,228,17.8,396.9,4.8888,38.688
181,0.0671976,0,2.5092,0,0.5124,7.765,89.966,2.63136,3,205,17.8,383.6932,7.8624,40.994
182,0.0681912,0,2.4108,0,0.50752,6.02112,64.712,2.5979,3,367,17.8,400.869,9.45,36.2
183,0.0864785,0,2.337,0,0.488,6.8688,93.512,2.727606,3,282,17.8,405.9436,4.7718,36.005
184,0.0990792,0,2.4354,0,0.4636,6.43174,99.644,2.98935,3,208,17.8,388.962,5.396,34.125
185,0.0797568,0,2.4846,0,0.5124,5.82816,93.004,2.868384,3,366,17.8,387.09,14.5392,25.872
186,0.0634935,0,2.3862,0,0.5124,6.27606,73.8,3.378091,3,291,17.8,375.4967,13.0185,29.304
187,0.0548996,0,2.5584,0,0.49776,8.14424,59.136,3.135216,3,195,17.8,408.3352,4.4945,51
284,0.0154603,90,1.2342,1,0.40902,8.23992,30.544,5.59075,1,287,13.6,407.3856,3.0336,50.5
65,0.0189247,17.5,1.3938,0,0.428583,7.31712,61.525,9.2229,3,283,18.6,412.902,7.889,34.65
280,0.2166914,20,3.4632,0,0.434042,6.67576,35.912,3.895665,5,395,14.9,416.745,4.6075,36.504
281,0.0364956,20,3.1635,0,0.456187,7.8982,70.145,4.835541,5,389,14.9,402.8024,3.8352,45.4
282,0.0374205,20,3.3633,0,0.465045,7.24672,41.828,5.034912,5,386,14.9,403.9969,4.4064,33.63
283,0.0606771,20,3.1968,1,0.429613,7.645,56.688,5.264019,5,365,14.9,392.1528,2.9799,46
4,0.0333411,0,2.2454,0,0.44426,7.3479,50.342,6.001578,3,410,18.7,406.4689,2.94,34.736
5,0.0725025,0,2.18,0,0.47632,7.147,58.658,5.819712,3,364,18.7,388.962,5.3833,38.01
6,0.0307455,0,2.2018,0,0.47632,6.3014,61.939,6.244066,3,355,18.7,390.1788,5.0537,27.265
305,0.0523925,33,2.289,0,0.46256,7.5978,46.922,3.8209,7,296,18.4,381.8696,7.1379,36.461
306,0.0520505,33,2.289,0,0.472,6.74832,65.424,3.2689,7,425,18.4,405.1608,8.4835,27.832
307,0.0787815,33,2.1146,0,0.48616,7.7168,74.743,3.130192,7,256,18.4,396.9,6.6641,34.402
308,0.051786,33,2.2236,0,0.48616,6.64353,75.3,3.214527,7,269,18.4,404.838,7.8312,29.61
270,0.094276,20,7.2384,1,0.44544,6.216,69.575,4.113375,3,348,18.6,375.6864,13.377,21.321
271,0.314118,20,7.0296,0,0.46864,5.856,44.995,4.20755,3,295,18.6,373.104,13.52,21.522
272,0.1604889,20,7.2384,0,0.45472,6.0528,21.463,4.34042,3,245,18.6,377.055,6.7218,25.956
273,0.12033,20,7.0296,0,0.48256,6.27648,64.874,4.0742,3,274,18.6,375.212,7.3435,25.62
274,0.2130048,20,6.8208,1,0.44544,7.99864,54.728,4.148175,3,331,18.6,382.9546,6.8432,33.792
204,0.035802,95,2.5996,0,0.428583,7.77447,37.868,4.8621,4,281,14.7,412.419,3.7719,49.955
205,0.0192864,95,2.7336,0,0.428583,7.6323,36.581,4.96446,4,253,14.7,371.0225,2.7648,48.5
334,0.0482885,0,5.19,0,0.4944,6.6318,42.338,6.78132,5,423,20.2,374.1216,5.9072,21.534
335,0.0377538,0,5.0343,0,0.515,5.9945,45.425,6.264648,5,303,20.2,369.93,6.5475,19.872
336,0.0380256,0,5.2938,0,0.5253,6.09737,40.19,6.164859,5,361,20.2,408.807,8.2503,21.311
337,0.0356408,0,5.2938,0,0.4944,5.869,52.226,5.126478,5,267,20.2,404.838,10.094,19.5
338,0.0316264,0,5.2419,0,0.48925,6.07185,66.984,5.89575,5,248,20.2,394.81,10.7712,17.945
339,0.034713,0,4.9305,0,0.5356,6.24077,42.3,4.860322,5,300,20.2,376.333,8.6802,19.57
340,0.0538706,0,5.2938,0,0.50985,6.1047,49.038,5.05281,5,410,20.2,408.807,9.9348,18.05
341,0.0590496,0,5.2419,0,0.515,5.90832,62.915,4.860322,5,411,20.2,400.869,9.29,19.635
56,0.0136344,90,1.2322,0,0.39091,7.10402,26.9,8.870532,5,371,17.9,415.7265,4.7619,36.462
42,0.1248912,0,6.9791,0,0.43008,6.4992,7.871,5.663691,3,237,17.9,400.8264,4.9368,26.068
43,0.134425,0,6.6336,0,0.43008,6.23069,11.402,5.549273,3,434,17.9,394.8711,5.9843,24.541
44,0.1529856,0,6.9791,0,0.43456,6.211,11.825,5.492064,3,444,17.9,386.5708,7.068,25.688
45,0.1275976,0,6.6336,0,0.45696,6.25107,44.2,5.949736,3,316,17.9,408.8595,9.741,22.048
46,0.1731342,0,6.9791,0,0.43456,5.3979,37.448,5.35542,3,276,17.9,412.776,9.6995,19.493
47,0.197778,0,7.1864,0,0.43904,5.67028,37.634,5.151404,3,407,17.9,381.024,13.7255,19.8
48,0.2200992,0,6.91,0,0.4256,6.3315,87.935,5.40493,3,261,17.9,377.0304,19.552,16.6
49,0.2665635,0,6.7718,0,0.46144,5.29102,104.112,5.6352,3,386,17.9,404.838,29.2695,14.832
50,0.2241654,0,6.91,0,0.46592,5.3219,65.76,6.331208,3,384,17.9,400.869,15.39,19.788
287,0.0194535,80,1.7072,0,0.39655,6.4792,37.445,8.816524,1,326,18.2,351.848,12.8007,19.899
2,0.0270369,0,6.8579,0,0.48776,6.74205,86.267,5.165784,2,302,17.8,416.745,9.4142,22.68
3,0.0281087,0,6.9286,0,0.45962,7.40055,66.711,4.9671,2,270,17.8,396.7583,4.0703,36.435
51,0.0896173,21,5.4144,0,0.45656,5.963,48.872,6.473965,4,315,16.8,399.5156,13.719,19.7
52,0.0429363,21,5.8656,0,0.46095,6.17615,68,7.087288,4,333,16.8,397.9097,9.43,19.68
53,0.053064,21,5.4144,0,0.43461,6.25056,26.1,6.882847,4,358,16.8,408.807,5.4384,24
54,0.0483157,21,5.4144,0,0.41705,5.93802,26.4,6.542112,4,437,16.8,416.745,8.2614,22.23
257,0.0147648,90,3.5625,0,0.3743,7.30492,38.516,6.019295,3,388,15.9,370.8864,3.0789,41.8
291,0.0353702,80,4.752,0,0.411,6.58656,33.179,4.860865,4,263,19.2,377.055,3.2301,27.93
292,0.0772828,80,5.1975,0,0.41922,7.43392,31.592,5.1167,4,347,19.2,416.745,3.382,38.419
293,0.0350655,80,5.049,0,0.42333,6.63,27.932,5.014366,4,259,19.2,408.807,4.794,29.016
85,0.0480605,0,4.4002,0,0.449,6.51678,50.6,4.683812,3,406,18.5,396.9,9.9086,22.705
86,0.0556295,0,4.6247,0,0.449,6.5637,63.344,4.570831,3,246,18.5,396.223,6.7259,26.334
87,0.0539552,0,4.4451,0,0.43104,6.07515,47.845,4.604288,3,383,18.5,415.7895,12.6028,21.6
88,0.07151,0,4.2655,0,0.45798,5.93737,61.232,3.597696,3,287,18.5,383.2955,8.44,21.756
40,0.0270774,75,2.891,0,0.41088,6.3312,27.236,5.563133,3,433,18.3,395.63,4.104,29.568
41,0.0322464,75,2.8025,0,0.43228,6.6728,20.8,5.563133,3,327,18.3,375.839,2.0592,33.504
275,0.0586976,40,6.2818,1,0.44253,6.69042,37.242,3.996048,4,259,17.6,404.838,3.4594,33.372
276,0.0989212,40,6.2177,0,0.42465,6.92254,49.94,4.224627,4,315,17.6,408.807,3.0098,31.36
277,0.1025962,40,6.5382,1,0.44253,7.12166,54.98,4.930816,4,302,17.6,381.465,5.808,32.204
278,0.0637208,40,6.3459,1,0.42912,6.68948,33.98,5.008684,4,251,17.6,385.581,4.1184,34.424
279,0.075791,40,6.7305,0,0.42912,6.482,36.779,4.223106,4,433,17.6,416.745,7.3338,27.936
196,0.01381,80,0.4508,0,0.4431,8.11125,36.04,5.591916,4,387,14.4,382.4031,2.8809,48.5
58,0.013604,100,1.2936,0,0.39045,6.88416,44.285,8.408048,5,255,15.1,400.758,4.108,32.232
258,0.642117,20,3.8906,0,0.62112,8.704,96.245,1.78299,5,384,13,381.906,5.2224,50
259,0.6767802,20,4.1288,0,0.67288,7.03968,110,1.970384,5,404,13,390.9558,7.5563,34.56
260,0.669783,20,3.9303,0,0.64053,6.91042,106,2.0107,5,410,13,395.8493,6.555,30.702
261,0.5347089,20,3.8112,0,0.64053,7.27503,90.89,2.090979,5,321,13,373.16,9.4941,33.124
262,0.5554848,20,4.0097,0,0.647,7.52,89.93,2.054208,5,272,13,392.2537,7.1874,42.669
263,0.494133,20,3.8906,0,0.66641,7.9781,94.67,2.219845,5,383,13,371.3856,6.0873,49.288
264,0.8500178,20,4.1685,0,0.65994,7.54681,103.28,2.016436,5,336,13,385.5516,11.5875,30.69
265,0.5555707,20,3.97,0,0.66641,7.42218,92.02,1.949401,5,329,13,384.0111,7.776,37.96
266,0.7540038,20,3.7715,0,0.65994,5.4488,64.66,2.085825,5,271,13,376.704,10.45,23.256
267,0.793557,20,3.9303,0,0.64053,6.6633,92.138,2.068913,5,275,13,391.7514,14.4942,31.007
268,0.57834,20,4.0097,0,0.58075,8.71185,75.35,2.518464,5,431,13,399.9216,7.2912,51.5
269,0.567525,20,4.0494,0,0.56925,7.8435,59.178,2.98688,5,285,13,398.106,3.0968,42.195
194,0.0216513,60,2.9593,0,0.41303,6.732,14.603,6.468384,1,414,15.6,377.6352,5.1306,30.478
195,0.0141022,60,2.8128,0,0.40902,6.9342,23.048,5.970816,1,277,15.6,395.535,4.4676,30.264
89,0.057166,0,3.5123,0,0.47433,6.93693,90.437,3.592785,2,372,17.8,388.962,5.39,22.892
90,0.0551408,0,3.5123,0,0.48411,7.14979,66.838,3.312065,2,317,17.8,400.0206,5.415,28.413
91,0.044498,0,3.3077,0,0.51345,6.48117,72.422,3.215992,2,288,17.8,372.571,9.1624,21.922
92,0.041286,0,3.2736,0,0.48411,6.405,76.683,3.246705,2,440,17.8,389.6145,8.446,21.56
93,0.0428706,28,15.3408,0,0.47792,6.1199,55.92,3.812536,4,387,18.2,410.8104,8.3232,23.129
94,0.02875,28,14.288,0,0.464,6.33522,32.455,3.739218,4,428,18.2,376.5135,6.1479,26.25
95,0.0433694,28,14.4384,0,0.45472,6.49896,85.392,3.615,4,373,18.2,416.745,10.4841,21.63
96,0.1257012,0,2.9767,0,0.445,6.55875,61.066,3.600056,2,381,18,340.081,6.384,28.4
97,0.1184912,0,2.9767,0,0.4539,6.10137,71.816,3.425296,2,393,18,411.4215,11.5668,21.186
98,0.1184134,0,2.89,0,0.445,7.90762,79.48,3.4952,2,418,18,396.9,4.0416,39.474
99,0.0851448,0,2.9189,0,0.44055,8.211,43.376,3.425296,2,271,18,389.5947,3.6771,45.99
100,0.069286,0,3.0056,0,0.46725,7.26768,68.125,3.460248,2,271,18,400.869,6.19,32.536
217,0.04788,0,14.3067,1,0.5225,5.65248,60.44,3.080979,5,401,16.4,396.728,13.51,22.601
218,0.0694287,0,14.0289,0,0.5665,6.90768,86.696,3.592155,5,389,16.4,384.9244,9.3993,27.552
219,0.1140107,0,14.4456,1,0.561,6.01051,97.862,2.860407,5,403,16.4,400.869,17.2032,21.5
220,0.1085375,0,13.1955,1,0.5445,6.373,95.552,3.430566,5,432,16.4,393.74,10.92,21.85
206,0.1336916,0,10.4841,0,0.47922,5.59645,26.408,4.14267,4,320,18.6,381.024,11.0874,23.278
207,0.2182055,0,10.1664,0,0.46944,6.19948,56.45,4.572645,4,291,18.6,406.7161,11.4088,24.888
208,0.25199,0,11.0136,0,0.46455,5.95649,79.154,4.529096,4,317,18.6,385.5357,18.6018,22.5
209,0.1304352,0,10.4841,1,0.47922,6.30656,67.055,4.069632,4,435,18.6,388.9464,14.2202,23.912
210,0.4226387,0,11.0136,1,0.47922,5.29056,105,3.75875,4,292,18.6,388.962,23.3209,20.6
211,0.1709708,0,10.3782,1,0.489,6.1388,101.705,3.915871,4,375,18.6,377.52,16.4065,22.134
212,0.3645066,0,10.4841,1,0.46455,5.6742,92.714,3.55505,4,336,18.6,379.4304,25.179,19.107
213,0.21719,0,10.8018,1,0.47922,5.57472,59.338,3.725652,4,308,18.6,398.7588,16.5109,21.504
214,0.133494,0,11.1195,0,0.49878,6.69375,36.654,3.74813,4,444,18.6,374.2357,9.4738,27.257
215,0.283759,0,10.9077,0,0.50367,5.35788,14.31,3.444,4,268,18.6,355.9086,29.55,23.463
216,0.188119,0,11.1195,0,0.46944,6.182,46.128,4.103216,4,429,18.6,385.7574,9.0912,25.75
36,0.0648117,0,5.8408,0,0.499,5.69568,75.246,3.225888,5,427,19.2,396.9,9.196,19.089
37,0.0945168,0,5.8408,0,0.51896,5.72418,64.558,3.546795,5,433,19.2,396.438,11.2959,20.4
38,0.076133,0,5.9004,0,0.51397,5.9085,47.33,3.894858,5,377,19.2,408.807,8.5946,21.42
39,0.1732995,0,6.1388,0,0.51397,5.84668,33.69,3.8473,5,360,19.2,373.7585,9.6235,23.712
349,0.01501,80,2.0703,0,0.4437,6.7677,35.888,8.7612,4,443,17,398.7588,5.7504,23.52
81,0.0431865,25,4.6656,0,0.43878,6.39065,38.5,5.238679,4,366,19,400.869,5.3429,28.56
82,0.04462,25,4.8114,0,0.41748,6.35424,72.584,5.130665,4,342,19,399.5863,7.581,23.661
83,0.0358582,25,4.9572,0,0.42174,6.55408,38.166,5.616728,4,439,19,384.993,7.056,24.8
84,0.03551,25,5.0058,0,0.4473,5.85865,50.299,5.292686,4,412,19,402.3592,7.3598,23.587
59,0.148272,25,5.2839,0,0.45753,6.0221,35.076,7.892948,8,439,19.7,390.68,7.0658,22.135
60,0.1053456,25,5.3865,0,0.44394,5.927,50.312,7.00132,8,270,19.7,392.931,9.0356,20.384
61,0.156786,25,5.0274,0,0.43035,5.85582,74.51,6.86413,8,407,19.7,406.9633,13.15,19.261
62,0.1768613,25,5.13,0,0.46206,5.84668,100.268,6.95487,8,306,19.7,385.6416,13.8624,15.84
63,0.11027,25,5.1813,0,0.453,6.52056,72.122,7.153245,8,315,19.7,392.931,6.8646,23.088
64,0.13156,25,4.9761,0,0.44847,6.49152,47.966,7.821282,8,437,19.7,375.801,9.595,25.75
342,0.01301,35,1.444,0,0.442,7.53064,56.272,6.686005,1,383,15.5,375.003,5.7096,32.046
285,0.008607,90,2.97,0,0.416,7.088,24.76,7.453446,1,353,15.3,410.5088,7.693,31.556
321,0.169276,0,7.4538,0,0.47328,6.61878,58.346,4.494996,5,330,19.6,404.838,6.84,24.038
322,0.1779582,0,7.749,0,0.47328,6.56728,57.671,4.5404,5,313,19.6,392.931,7.1448,23.331
323,0.3581628,0,7.1586,0,0.47328,5.92018,57.395,4.485045,5,342,19.6,408.807,8.085,19.992
324,0.28392,0,7.38,0,0.46835,5.4226,77.071,4.485045,5,376,19.6,410.6865,11.6226,17.76
325,0.3240355,0,7.0848,0,0.46835,6.415,44.699,4.862733,5,276,19.6,396.9,6.12,25.25
326,0.1937786,0,7.0848,0,0.48314,6.36669,19.847,5.632536,5,295,19.6,405.4904,4.9784,25.83
327,0.2974006,0,7.749,0,0.51765,6.6276,35.345,5.578377,5,288,19.6,408.807,6.396,22.54
328,0.2458506,0,7.4538,0,0.49793,6.20466,50.011,5.686695,5,427,19.6,404.838,12.2784,21.534
294,0.080997,0,14.0592,0,0.44574,6.06573,23.952,5.282592,4,301,16,381.024,8.2368,25.095
295,0.0803502,0,14.616,0,0.41952,5.76864,46.031,5.557727,4,407,16,408.807,10.712,21.049
296,0.1241472,0,13.5024,0,0.45011,6.54444,36.1,6.079608,4,291,16,396.9,6.3954,29.172
297,0.0521084,0,14.1984,0,0.42826,6.549,57.53,5.841192,4,314,16,381.0645,7.1683,26.287
298,0.1480815,0,14.3376,0,0.44137,5.9058,63,6.5728,4,392,16,377.055,15.2064,21.315
288,0.0383229,52.5,5.4264,0,0.39285,6.33318,35.674,7.609888,6,416,16.6,412.776,6.9258,22.504
289,0.046359,52.5,5.2136,0,0.405,6.4413,52.88,7.3172,6,400,16.6,388.962,7.676,22.523
290,0.0451185,52.5,5.32,0,0.4131,6.49935,26.755,7.68306,6,310,16.6,371.72,9.8904,24.056
1,0.0061304,18,2.3562,0,0.51648,6.312,69.548,4.09,1,347,15.3,404.838,4.8804,24.72
173,0.1377486,0,4.05,0,0.5151,5.68344,90.845,2.518217,5,361,16.6,392.931,15.2776,23.562
174,0.09178,0,4.1715,0,0.4998,6.7368,89.941,2.725689,5,357,16.6,415.275,9.3112,22.42
175,0.0886935,0,4.212,0,0.4845,5.74182,70.265,2.566805,5,369,16.6,412.8915,9.8328,22.6
176,0.0639744,0,4.212,0,0.5253,6.2187,36.776,3.007008,5,435,16.6,371.412,5.33,28.224
177,0.0716244,0,3.888,0,0.5304,5.9598,51.256,3.377155,5,342,16.6,412.8915,10.6155,23.2
178,0.053165,0,4.0095,0,0.5049,6.5676,76.198,3.350675,5,328,16.6,415.38,6.6045,23.37
179,0.069741,0,3.8475,0,0.4896,7.1344,75.68,2.769535,5,391,16.6,375.6192,7.1276,30.797
239,0.0832644,30,4.7328,0,0.41944,6.41619,24.055,6.128001,6,341,16.6,368.0277,6.6144,24.885
240,0.0888192,30,5.1765,0,0.44512,6.87024,46.356,6.499395,6,353,16.6,364.591,7.0015,23.3
241,0.1076255,30,5.0286,0,0.41088,6.62112,60.929,6.209378,6,315,16.6,371.6875,10.9248,22.22
242,0.1050588,30,4.6835,0,0.41944,5.9731,70.751,6.399461,6,435,16.6,394.62,12.648,19.698
243,0.097755,30,5.0286,0,0.41944,6.10368,60.545,7.0355,6,384,16.6,354.1125,11.781,23.31
244,0.1313971,30,4.9793,0,0.44512,6.13728,13.19,6.75408,6,323,16.6,359.7216,5.2938,22.752
286,0.0113984,55,2.34,0,0.39678,6.32394,35.305,7.599592,1,301,15.3,374.984,8.4769,22.88
309,0.4979098,0,10.296,0,0.52768,6.9004,91.625,3.217975,4,319,18.4,377.055,4.54,22.116
310,0.3494,0,9.999,0,0.53312,6.15116,84.001,3.16455,4,418,18.4,400.2024,10.1694,19.691
311,2.767254,0,9.801,0,0.544,4.77408,41.666,2.469012,4,443,18.4,364.468,12.1344,16.744
312,0.8220264,0,9.999,0,0.55488,6.18322,58.328,2.693106,4,290,18.4,377.055,5.8604,21.658
313,0.2538393,0,9.702,0,0.54944,6.26392,98.112,2.74898,4,362,18.4,400.263,11.3684,20.176
314,0.2666862,0,9.999,0,0.53856,6.39132,91.94,3.197544,4,316,18.4,405.1917,8.058,20.736
315,0.376584,0,9.999,0,0.5168,6.23865,94.919,3.782415,4,385,18.4,387.7762,9.0944,23.8
316,0.2459532,0,10.395,0,0.52768,5.87615,83.477,3.98445,4,340,18.4,404.3484,12.075,16.038
